Official Symbol Interactor A,Official Symbol Interactor B,Interactor A Encoded,Interactor B Encoded,Prediction_Prob,Prediction
ANXA1,CTNNB1,103,587,0.98,1
ANXA1,DNAI1,103,686,0.98,1
ANXA1,DNMT3A,103,700,0.99,1
ANXA1,GUCA1B,103,1051,0.99,1
ANXA1,GUCA2B,103,1053,0.99,1
ANXA1,GSK3B,103,1041,1.0,1
ANXA1,GSTM5,103,1046,0.99,1
ANXA1,Gsk3b,103,1060,0.99,1
ANXA1,HSPA4L,103,1126,1.0,1
ANXA1,DNALI1,103,697,0.99,1
ANXA1,GSTM3,103,1045,0.99,1
ANXA1,HSP90AA1,103,1120,1.0,1
ANXA1,DNAL4,103,696,0.99,1
ANXA1,DNAH5,103,681,0.98,1
ANXA1,Gfap,103,1057,0.99,1
ANXA1,DNAH3,103,680,0.98,1
ANXA1,CTNNAL1,103,586,0.98,1
ANXA1,CTSO,103,588,0.98,1
ANXA1,DNHD1,103,698,0.99,1
ANXA1,Gm4779,103,1058,0.99,1
ANXA1,DNAL1,103,695,0.99,1
ANXA1,GSN,103,1042,1.0,1
ANXA1,CSNK1A1,103,568,0.99,1
ANXA1,CSGALNACT1,103,567,0.99,1
ANXA1,HSPA5,103,1127,1.0,1
ANXA1,GSTA1,103,1043,1.0,1
ANXA1,Gm8129,103,1059,0.99,1
ANXA1,DNAJC27,103,693,0.98,1
ANXA1,CSNK1E,103,570,0.99,1
ANXA1,GRXCR1,103,1039,1.0,1
ANXA1,GUCY2F,103,1055,0.99,1
ANXA1,GSF2,103,1040,1.0,1
ANXA1,HSPA12B,103,1124,1.0,1
ANXA1,DNAJB13,103,690,0.98,1
ANXA1,CSNK1G1,103,571,0.99,1
ANXA1,DNAJA1,103,688,0.98,1
ANXA1,HSP90AB1,103,1122,1.0,1
ANXA1,DNAH9,103,685,0.98,1
ANXA1,DNAI2,103,687,0.98,1
ANXA1,HSP90AA5P,103,1121,1.0,1
ANXA1,HSPA1L,103,1125,1.0,1
ANXA1,DNM2,103,699,0.99,1
ANXA1,GUCY2D,103,1054,0.99,1
ANXA1,CSNK1D,103,569,0.99,1
ANXA1,GUCA1A,103,1050,0.99,1
ANXA1,DNAH6,103,682,0.98,1
ANXA1,GYPA,103,1056,0.99,1
ANXA1,GTT1,103,1049,0.99,1
ANXA1,GTF2E1,103,1047,0.99,1
ANXA1,CTD-3148I10.1,103,585,0.98,1
ANXA1,DNAH8,103,684,0.98,1
ANXA1,DNAJC6,103,694,0.99,1
ANXA1,DNAJA4,103,689,0.98,1
ANXA1,DNAJC13,103,691,0.98,1
ANXA1,Gtf2e2,103,1061,0.99,1
ANXA1,HSPBP1,103,1130,1.0,1
ANXA1,DNAJC25-GNG10,103,692,0.98,1
ANXA1,HSPB11,103,1129,1.0,1
PARD3,HSP90B1,1677,1123,0.99,1
PARD3,HSPA8,1677,1128,0.99,1
PARD3,HSPA4L,1677,1126,0.99,1
PARD3,HSP90AA1,1677,1120,0.99,1
PARD3,HSPA5,1677,1127,0.99,1
PARD3,HSPA12B,1677,1124,0.99,1
PARD3,HSP90AB1,1677,1122,0.99,1
PARD3,HSP90AA5P,1677,1121,0.99,1
PARD3,HSPA1L,1677,1125,0.99,1
PARD3,HSPBP1,1677,1130,0.99,1
PARD3,HSPB11,1677,1129,0.99,1
YWHAE,KIF7,2634,1281,1.0,1
YWHAE,APP,2634,118,0.99,1
YWHAE,PANX2,2634,1675,1.0,1
YWHAE,TTC29,2634,2461,0.99,1
YWHAE,PALM3,2634,1673,0.99,1
YWHAE,HUWE1,2634,1134,1.0,1
YWHAE,TUBA1B,2634,2480,1.0,1
YWHAE,HSP90B1,2634,1123,1.0,1
YWHAE,ARF4,2634,121,0.98,1
YWHAE,PI4K2A,2634,1743,0.98,1
YWHAE,TUBB4B,2634,2489,0.99,1
YWHAE,PAX1,2634,1681,0.99,1
YWHAE,PANX1,2634,1674,0.99,1
YWHAE,YTHDF2,2634,2632,1.0,1
YWHAE,TUBGCP2,2634,2492,0.98,1
YWHAE,PIFO,2634,1746,0.98,1
YWHAE,TRIM27,2634,2427,1.0,1
YWHAE,PAFAH1B1,2634,1668,0.98,1
YWHAE,HSPA8,2634,1128,1.0,1
YWHAE,PCDHGB2,2634,1691,0.99,1
YWHAE,HDAC6,2634,1079,0.98,1
YWHAE,PAXBP1,2634,1682,0.99,1
YWHAE,CTNNB1,2634,587,0.99,1
YWHAE,KISS1,2634,1285,0.98,1
YWHAE,TUBB2B,2634,2486,0.99,1
YWHAE,KIF5A,2634,1277,1.0,1
YWHAE,TUBB3,2634,2487,0.99,1
YWHAE,HSPA4L,2634,1126,1.0,1
YWHAE,TTC18,2634,2457,0.99,1
YWHAE,ZBBX,2634,2638,1.0,1
YWHAE,CSNK2B,2634,573,0.98,1
YWHAE,TUBB4A,2634,2488,0.99,1
YWHAE,TRMT61B,2634,2440,0.99,1
YWHAE,KIFAP3,2634,1283,1.0,1
YWHAE,HSP90AA1,2634,1120,1.0,1
YWHAE,TRIM32,2634,2428,1.0,1
YWHAE,TTLL6,2634,2473,1.0,1
YWHAE,TSEN2,2634,2446,0.99,1
YWHAE,TTC30B,2634,2463,1.0,1
YWHAE,CTNNAL1,2634,586,0.99,1
YWHAE,KIF3B,2634,1275,1.0,1
YWHAE,CTSO,2634,588,0.99,1
YWHAE,TTLL7,2634,2474,1.0,1
YWHAE,PCM1,2634,1695,1.0,1
YWHAE,TRIM71,2634,2433,1.0,1
YWHAE,KIF3C,2634,1276,1.0,1
YWHAE,CSNK1A1,2634,568,1.0,1
YWHAE,PCNT,2634,1697,1.0,1
YWHAE,HSPA5,2634,1127,1.0,1
YWHAE,PIH1D3,2634,1751,0.98,1
YWHAE,PARS2,2634,1680,0.99,1
YWHAE,CSNK1E,2634,570,1.0,1
YWHAE,PIBF1,2634,1744,0.98,1
YWHAE,TRIM41,2634,2430,1.0,1
YWHAE,PCMTD1,2634,1696,1.0,1
YWHAE,PARD3,2634,1677,1.0,1
YWHAE,TRMT5,2634,2438,1.0,1
YWHAE,TRIM9,2634,2435,1.0,1
YWHAE,YWHAQ,2634,2637,1.0,1
YWHAE,HSPA12B,2634,1124,1.0,1
YWHAE,PID1,2634,1745,0.98,1
YWHAE,TUBGCP3,2634,2493,0.98,1
YWHAE,TUBA1C,2634,2481,1.0,1
YWHAE,CSNK1G1,2634,571,1.0,1
YWHAE,HSP90AB1,2634,1122,1.0,1
YWHAE,KIF6,2634,1280,1.0,1
YWHAE,KIF5C,2634,1279,1.0,1
YWHAE,TRMT6,2634,2439,0.99,1
YWHAE,TRIP11,2634,2436,1.0,1
YWHAE,TUBE1,2634,2490,0.98,1
YWHAE,HTR6,2634,1131,0.99,1
YWHAE,TTC40,2634,2464,1.0,1
YWHAE,TSPEAR,2634,2450,0.99,1
YWHAE,APOO,2634,117,0.99,1
YWHAE,PCDP1,2634,1692,1.0,1
YWHAE,TTLL10,2634,2468,1.0,1
YWHAE,TTC26,2634,2460,0.99,1
YWHAE,TTC30A,2634,2462,1.0,1
YWHAE,TSTD2,2634,2454,0.99,1
YWHAE,PIGF,2634,1748,0.98,1
YWHAE,KIR3DL3,2634,1284,0.99,1
YWHAE,PIN1,2634,1756,0.98,1
