Gene,term,References,Evidence,,Type_GO,product_name,,type,,Date,,,,
HSP90AA1,GO:0005515,PMID:23455922,IPI,UniProtKB:P17612,F,Heat shock protein HSP 90-alpha,HSP90A|HSPC1|HSPCA,protein,NCBITaxon:9606,20240406,IntAct,,,
HSP90AA1,GO:0005515,PMID:23455922,IPI,UniProtKB:P50750,F,Heat shock protein HSP 90-alpha,HSP90A|HSPC1|HSPCA,protein,NCBITaxon:9606,20240406,IntAct,,,
HSP90AA1,GO:0005515,PMID:23995768,IPI,UniProtKB:P04626,F,Heat shock protein HSP 90-alpha,HSP90A|HSPC1|HSPCA,protein,NCBITaxon:9606,20240406,IntAct,,,
HSP90AA1,GO:0005515,PMID:24189400,IPI,UniProtKB:P00533,F,Heat shock protein HSP 90-alpha,HSP90A|HSPC1|HSPCA,protein,NCBITaxon:9606,20240406,IntAct,,,
HSP90AA1,GO:0005515,PMID:24189400,IPI,UniProtKB:P04626,F,Heat shock protein HSP 90-alpha,HSP90A|HSPC1|HSPCA,protein,NCBITaxon:9606,20240406,IntAct,,,
HSP90AA1,GO:0005515,PMID:24189400,IPI,UniProtKB:Q16543,F,Heat shock protein HSP 90-alpha,HSP90A|HSPC1|HSPCA,protein,NCBITaxon:9606,20240406,IntAct,,,
HSP90AA1,GO:0005515,PMID:24658140,IPI,UniProtKB:P00533,F,Heat shock protein HSP 90-alpha,HSP90A|HSPC1|HSPCA,protein,NCBITaxon:9606,20240406,IntAct,,,
HSP90AA1,GO:0005515,PMID:24658140,IPI,UniProtKB:P04626,F,Heat shock protein HSP 90-alpha,HSP90A|HSPC1|HSPCA,protein,NCBITaxon:9606,20240406,IntAct,,,
HSP90AA1,GO:0005515,PMID:24794838,IPI,UniProtKB:Q9H6T3,F,Heat shock protein HSP 90-alpha,HSP90A|HSPC1|HSPCA,protein,NCBITaxon:9606,20240406,IntAct,,,
HSP90AA1,GO:0005515,PMID:24949977,IPI,UniProtKB:P04150,F,Heat shock protein HSP 90-alpha,HSP90A|HSPC1|HSPCA,protein,NCBITaxon:9606,20240406,IntAct,,,
HSP90AA1,GO:0005515,PMID:25036637,IPI,UniProtKB:P00540,F,Heat shock protein HSP 90-alpha,HSP90A|HSPC1|HSPCA,protein,NCBITaxon:9606,20240406,IntAct,,,
HSP90AA1,GO:0005515,PMID:25036637,IPI,UniProtKB:P04049,F,Heat shock protein HSP 90-alpha,HSP90A|HSPC1|HSPCA,protein,NCBITaxon:9606,20240406,IntAct,,,
HSP90AA1,GO:0005515,PMID:25036637,IPI,UniProtKB:P04626,F,Heat shock protein HSP 90-alpha,HSP90A|HSPC1|HSPCA,protein,NCBITaxon:9606,20240406,IntAct,,,
HSP90AA1,GO:0005515,PMID:25036637,IPI,UniProtKB:P50750,F,Heat shock protein HSP 90-alpha,HSP90A|HSPC1|HSPCA,protein,NCBITaxon:9606,20240406,IntAct,,,
HSP90AA1,GO:0005515,PMID:25036637,IPI,UniProtKB:Q15185,F,Heat shock protein HSP 90-alpha,HSP90A|HSPC1|HSPCA,protein,NCBITaxon:9606,20240406,IntAct,,,
HSP90AA1,GO:0005515,PMID:25036637,IPI,UniProtKB:Q15831,F,Heat shock protein HSP 90-alpha,HSP90A|HSPC1|HSPCA,protein,NCBITaxon:9606,20240406,IntAct,,,
HSP90AA1,GO:0005515,PMID:25036637,IPI,UniProtKB:Q16543,F,Heat shock protein HSP 90-alpha,HSP90A|HSPC1|HSPCA,protein,NCBITaxon:9606,20240406,IntAct,,,
HSP90AA1,GO:0005515,PMID:25036637,IPI,UniProtKB:Q6PK50,F,Heat shock protein HSP 90-alpha,HSP90A|HSPC1|HSPCA,protein,NCBITaxon:9606,20240406,IntAct,,,
HSP90AA1,GO:0005515,PMID:25036637,IPI,UniProtKB:Q6VAB6,F,Heat shock protein HSP 90-alpha,HSP90A|HSPC1|HSPCA,protein,NCBITaxon:9606,20240406,IntAct,,,
HSP90AA1,GO:0005515,PMID:25036637,IPI,UniProtKB:Q7L3B6,F,Heat shock protein HSP 90-alpha,HSP90A|HSPC1|HSPCA,protein,NCBITaxon:9606,20240406,IntAct,,,
HSP90AA1,GO:0005515,PMID:25036637,IPI,UniProtKB:Q8IWD4,F,Heat shock protein HSP 90-alpha,HSP90A|HSPC1|HSPCA,protein,NCBITaxon:9606,20240406,IntAct,,,
HSP90AA1,GO:0005515,PMID:25036637,IPI,UniProtKB:Q96QS6,F,Heat shock protein HSP 90-alpha,HSP90A|HSPC1|HSPCA,protein,NCBITaxon:9606,20240406,IntAct,,,
HSP90AA1,GO:0005515,PMID:25036637,IPI,UniProtKB:Q9BXA6,F,Heat shock protein HSP 90-alpha,HSP90A|HSPC1|HSPCA,protein,NCBITaxon:9606,20240406,IntAct,,,
HSP90AA1,GO:0005515,PMID:25036637,IPI,UniProtKB:Q9H6T3,F,Heat shock protein HSP 90-alpha,HSP90A|HSPC1|HSPCA,protein,NCBITaxon:9606,20240406,IntAct,,,
HSP90AA1,GO:0005515,PMID:25036637,IPI,UniProtKB:Q9NR20,F,Heat shock protein HSP 90-alpha,HSP90A|HSPC1|HSPCA,protein,NCBITaxon:9606,20240406,IntAct,,,
