Gene,term,References,Evidence,,Type_GO,product_name,,type,,Date,,,,
Hsp90ab1,GO:0032991,RGD:1624291,ISO,UniProtKB:P08238,C,heat shock protein 90 alpha family class B member 1,,gene,NCBITaxon:10116,20170110,RGD,,,
Hsp90ab1,GO:0034605,GO_REF:0000107|RGD:1600115,IEA,UniProtKB:P11499|ensembl:ENSMUSP00000024739,P,heat shock protein 90 alpha family class B member 1,,gene,NCBITaxon:10116,20240129,Ensembl,,UniProtKB:A0A8L2QEA3,
Hsp90ab1,GO:0034605,RGD:1624291,ISO,MGI:96247,P,heat shock protein 90 alpha family class B member 1,,gene,NCBITaxon:10116,20190628,RGD,,,
Hsp90ab1,GO:0034751,GO_REF:0000024|RGD:1600115,ISS,UniProtKB:P08238,C,heat shock protein 90 alpha family class B member 1,,gene,NCBITaxon:10116,20170224,UniProt,,,
Hsp90ab1,GO:0034751,GO_REF:0000107|RGD:1600115,IEA,UniProtKB:P08238|ensembl:ENSP00000360709,C,heat shock protein 90 alpha family class B member 1,,gene,NCBITaxon:10116,20240129,Ensembl,,UniProtKB:A0A8L2QEA3,
Hsp90ab1,GO:0034751,RGD:1624291,ISO,UniProtKB:P08238,C,heat shock protein 90 alpha family class B member 1,,gene,NCBITaxon:10116,20161014,RGD,,,
Hsp90ab1,GO:0042220,PMID:22860061|RGD:10445834,IEP,,P,heat shock protein 90 alpha family class B member 1,,gene,NCBITaxon:10116,20151204,RGD,,,
Hsp90ab1,GO:0042277,GO_REF:0000107|RGD:1600115,IEA,UniProtKB:P08238|ensembl:ENSP00000360709,F,heat shock protein 90 alpha family class B member 1,,gene,NCBITaxon:10116,20240129,Ensembl,,UniProtKB:A0A8L2QEA3,
Hsp90ab1,GO:0042277,RGD:1624291,ISO,UniProtKB:P08238,F,heat shock protein 90 alpha family class B member 1,,gene,NCBITaxon:10116,20170808,RGD,,,
Hsp90ab1,GO:0042307,PMID:20980790|RGD:5686397,IMP,,P,heat shock protein 90 alpha family class B member 1,,gene,NCBITaxon:10116,20120125,RGD,,,
